NEH,M0,I0_0_exp,I0_asmp,i0_t_exp,i0_t_theo,d2ome_k,new_k
16,0.48532,0.4843386444398853,0.2284283457601131,0.3210190470998755,0.3276974529864432,0.07314,0.06444951290555073
21,0.50917,0.5057777952965329,0.18936956319312795,0.32137267392768115,0.32562170679455016,0.06563,0.05714416570606574
21,0.50917,0.5239313093475905,0.18936956319312795,0.3140476215488507,0.33074615110311223,0.06279,0.06705060851826757
22,0.48396,0.4958230634648096,0.17171251570371907,0.2858264670200584,0.28739579341171706,0.07638,0.06912942794319853
42,0.30297,0.31388029940938944,0.04190775217753865,0.12215972493537622,0.12778070200064395,0.08553,0.0772344738064546
42,0.30297,0.31295286987970133,0.04190775217753865,0.1183485131893754,0.1216786601541805,0.0912,0.0787129070533598
35,0.28856000000000004,0.3014499935460432,0.055502823832747405,0.13902220882425806,0.1369515597132991,0.08087,0.07229302723475098
24,0.46941000000000005,0.492039641532809,0.15157760681541577,0.29038532436700454,0.28928129345735776,0.06434,0.0642878438099817
20,0.53381,0.5733293497534586,0.20810808959739285,0.3213379237583013,0.3325516866826495,0.07401,0.08253717601679483
25,0.52295,0.5022237737037725,0.16109719878952025,0.27751799764496754,0.284825433226307,0.08255,0.06259991822906265
35,0.29777000000000003,0.31242401912900075,0.05727431332366646,0.1300807194269118,0.12746475579053188,0.09473,0.080433057367843
35,0.29777000000000003,0.3081415508101074,0.05727431332366646,0.11407827365808419,0.12315017943447436,0.09961,0.08711528530426828
53,0.16452999999999998,0.16224575433712585,0.013556141059699052,0.08562548472280156,0.0757170732284882,0.06826,0.04894526705233185
39,0.4363,0.4320317698792558,0.06950957202259239,0.13968502951995818,0.13516174134886563,0.13234,0.0857443737841913
17,0.44305999999999995,0.4548107435409682,0.19894336605351512,0.25024968205014697,0.26826285684548423,0.09684,0.09146589724415878
44,0.30936,0.3375514169740737,0.03894476834766337,0.11262640639838599,0.11918128031074782,0.09346,0.09059249292294624
40,0.29542,0.3069835879804233,0.04489980017560171,0.11417438397292329,0.12476335032382313,0.08794,0.08198497326683452
40,0.29542,0.32333664379321614,0.04489980017560171,0.11105968019279129,0.13431489870699806,0.07925,0.09279547850589037
37,0.43527,0.467891059929665,0.07619525226458815,0.2374348300079784,0.24832535080802928,0.05656,0.06521254034248497
30,0.44541,0.4381496841260654,0.10842098513441968,0.17472127690739728,0.16772816246861208,0.13364,0.0836345455464163
