NEH,M0,I0_0_exp,I0_asmp,i0_t_exp,i0_t_theo,d2ome_k,new_k
11,0.5803,0.5899771786946706,0.34565975041283603,0.533919614275027,0.5351776521576832,0.03051,0.038206744494382834
16,0.48845999999999995,0.5530009580676662,0.22990626755539612,0.4815942021515838,0.44607159825450476,0.02558,0.04490209514837551
16,0.48532,0.49478260460250456,0.2284283457601131,0.44113847513125204,0.43122310252631557,0.03378,0.032946137596245643
22,0.48396,0.49796795819304696,0.17171251570371907,0.41444212289970717,0.42190888638968127,0.03165,0.043325233747957166
42,0.30297,0.325612976089469,0.04190775217753865,0.2739976789891408,0.2555897410110586,0.02861,0.03103682030889108
26,0.49368,0.4728843745439736,0.14508364825643394,0.4291622503128395,0.42836332525393256,0.02964,0.019041266401714173
24,0.46941000000000005,0.48388383696866355,0.15157760681541577,0.3814812288790257,0.3867982964702188,0.043,0.053441997952171263
32,0.40507,0.4261479359550823,0.0897374432078588,0.2983213011374557,0.3440204426382618,0.03074,0.0696476642472061
35,0.29777000000000003,0.30796178222539555,0.05727431332366646,0.2587117082636393,0.24701951997502408,0.03386,0.032250610503100054
35,0.29777000000000003,0.30135646802584687,0.05727431332366646,0.2538212327844876,0.24398908262826785,0.03616,0.031027007108579703
20,0.53381,0.5472746546037427,0.20810808959739285,0.4805978378633993,0.4712681858022882,0.03046,0.03223884147122712
17,0.44305999999999995,0.43772957704923116,0.19894336605351512,0.36328025448814116,0.3747801356220771,0.04687,0.050211297829652654
16,0.5257999999999999,0.5376983465819073,0.2474812993502585,0.43502471941668586,0.43178903967214943,0.05888,0.062421820851751304
28,0.38281999999999994,0.40834114048539705,0.10239005564047264,0.32889775528710763,0.32947949390312475,0.03014,0.046202625662636734
16,0.46657,0.4937384436217015,0.21960317580420335,0.4684625304395087,0.43673920343934713,0.01839,0.015368952445759974
9,0.59773,0.6179158254052746,0.3912110104575352,0.5888432101064226,0.5796741359866224,0.01307,0.021526181863052368
15,0.57403,0.5990095255759589,0.2832117600753956,0.5588439896751575,0.539798934186666,0.01789,0.02109280668373998
19,0.50884,0.5370894099113227,0.20794016693279138,0.49728194762310995,0.4732364972526555,0.01799,0.020149382603953107
26,0.48962000000000006,0.512319773882864,0.1438904874803824,0.46625090557280796,0.44656460700309003,0.019,0.02030416109761879
28,0.46984000000000004,0.4916832981922476,0.12566465634533117,0.45384122104306857,0.4348191858687497,0.01533,0.01657064216697968
26,0.42310000000000003,0.4736165398450042,0.1243414591988681,0.40223020628420314,0.3908098668801221,0.01634,0.03821288218919462
22,0.43182000000000004,0.45566951266678923,0.15321286579713195,0.4085747785577492,0.39068794026318093,0.02282,0.026188999750860035
23,0.40590000000000004,0.4279102250456477,0.13739048198323017,0.38575740058234137,0.37570858824465486,0.01704,0.024187263029812483
25,0.38259,0.41927928803037584,0.11785864286238176,0.3552645466554817,0.34740972047632734,0.02037,0.03872089736138379
24,0.33296,0.3593672195770095,0.10751641414810256,0.31262207542779985,0.29842982024804077,0.02375,0.0326919838586878
39,0.28959,0.31624053913961897,0.04613632125148414,0.2543447790973674,0.2551201121429869,0.02181,0.04093706961143807
30,0.28604,0.2906744071655973,0.06962739630419032,0.23072518011450585,0.23660117526247648,0.03705,0.045054546245774575
35,0.24331,0.2505693673079264,0.04679925168680957,0.2192893528191938,0.216279625026221,0.02114,0.024549399279023672
35,0.2112,0.23288387823530557,0.040623081485570596,0.20539524214062926,0.19288106315511228,0.01623,0.02487654129135586
16,0.51989,0.5472101998706281,0.24469960578015576,0.5014041183846717,0.4782302251520609,0.02345,0.02575793079741791
43,0.20751999999999998,0.20926277836416554,0.027384184470503014,0.1927926747246733,0.18613901996145613,0.01805,0.013658779351437401
10,0.55284,0.5686322198521326,0.3451839442411427,0.5425041943743998,0.5238258245116653,0.0215,0.01910562158584456
9,0.52699,0.5576648211447963,0.34491206799226487,0.5073499865069643,0.5047395175877856,0.01862,0.04493111777511549
22,0.47840000000000005,0.48357519375978625,0.16973978740527979,0.4548607821146348,0.4433682023749702,0.01721,0.013908058924236591
24,0.44079,0.4530363971497022,0.14233589678142158,0.4298803105254167,0.4119458139061698,0.01452,0.011513801678519533
21,0.43016,0.4317565145932018,0.15998431035441193,0.40390306428610667,0.39749258174463,0.01841,0.01548685913604209
21,0.43016,0.45670977383924105,0.15998431035441193,0.4225348948409148,0.3956048079741188,0.01955,0.019213049206530088
23,0.40259999999999996,0.39484199768189,0.1362734861947486,0.37722276647454067,0.3658699014981557,0.0212,0.00976354943387364
28,0.4079,0.41841817917263885,0.10909801916239693,0.37244761390138287,0.36341236465998095,0.02303,0.023669207123607205
35,0.41545000000000004,0.4395197643448549,0.07990937122717948,0.40090835192516766,0.37463152127245003,0.01853,0.01738472176980547
25,0.38520000000000004,0.38906381094545245,0.11866266559656412,0.355331200034006,0.35005491628021335,0.0202,0.019223888573513318
50,0.17052,0.18202000629587642,0.016181954174722454,0.1604901358445599,0.15410905620891077,0.01606,0.021318286638964404
39,0.2028,0.2066720273162239,0.03230928536828268,0.1871781093206976,0.18218566756010804,0.01841,0.017268125871264
15,0.41165999999999997,0.42396913696912264,0.20310254368698036,0.39377440130946517,0.36104718072398173,0.03971,0.02217992225348161
30,0.34502000000000005,0.35634437230843974,0.0839842129522855,0.29894694858813153,0.29529447993625363,0.03019,0.03486538509237116
25,0.36028,0.37406809412447645,0.11098594278590372,0.3332181433381862,0.31940966890849415,0.02558,0.025326853575413873
21,0.51079,0.5262035556122312,0.18997207059217516,0.46640278554812825,0.46726203569829716,0.02083,0.029110517011756452
26,0.48305,0.5048163365615561,0.14195968297332362,0.4635594646061578,0.43853087615603775,0.01998,0.018324431115031674
29,0.40947,0.42112403134621296,0.10447932579128426,0.36146000888510155,0.35258411641961934,0.02949,0.03068006284116256
29,0.35266,0.37225300256641164,0.08998383039918505,0.34238076044598464,0.3178006718669338,0.02034,0.017169874504552683
44,0.3109,0.3201615151677998,0.03913863614975608,0.2721900264801637,0.2752643484458672,0.02008,0.02744291471949115
20,0.47540999999999994,0.49893237123307693,0.18534060222831444,0.4629098675100824,0.43870029687467,0.01933,0.018842410006497855
17,0.57672,0.6022013827465387,0.2589595496555393,0.5483581348338886,0.5343769587378019,0.02043,0.026257430375616668
22,0.48636,0.5286978751242459,0.17256405309872883,0.46901164961038594,0.435264112820801,0.02539,0.0297566432201521
26,0.43666,0.43753136434484874,0.1283264986380944,0.3385953623529541,0.31642805187926304,0.0706,0.053193313844692156
35,0.43433999999999995,0.46267905247242946,0.08354275195285384,0.3524641008666915,0.356943433098613,0.03561,0.051934293073707845
32,0.42796,0.43072975424729054,0.09480839409295987,0.37947719189296036,0.3604313008940156,0.03236,0.02366788162208543
29,0.39438,0.456889526894368,0.10062899969611128,0.41971784197423,0.32592891482656483,0.0379,0.019221121096242123
29,0.39438,0.42711404632035677,0.10062899969611128,0.36116296082565313,0.3088234438619534,0.04918,0.03567382005891681
33,0.36557,0.39926408078646836,0.07726081287447742,0.3266529169921192,0.29834055724394315,0.03793,0.040509480090588794
34,0.27855,0.29133938133780707,0.056161280332809316,0.23965764770595585,0.2235580465498941,0.04058,0.03705672785837993
60,0.14181,0.1562426213601715,0.008402598817315669,0.11710570753523364,0.11086619876767811,0.0377,0.048056438953416394
15,0.48310000000000003,0.49855047365275784,0.23834921744930337,0.43713535613795795,0.43249522238332583,0.03309,0.04034456127073542
19,0.48961,0.46850310292274094,0.20008172535957078,0.4369440566855945,0.42737995891293307,0.03457,0.016420325492362716
26,0.49079999999999996,0.5611728716030063,0.14423726819854515,0.48910007577633846,0.4410032376103642,0.02216,0.032798470422976365
28,0.43267000000000005,0.43910038241223515,0.11572306925960846,0.39296486090128396,0.3867679310792091,0.02235,0.022308068830250983
26,0.32295999999999997,0.33464886402268157,0.09491211926936052,0.29761038585491006,0.2902607105294688,0.02211,0.02508639030625553
