NEH,M0,I0_0_exp,I0_asmp,i0_t_exp,i0_t_theo,d2ome_k,new_k
16,0.48532,0.4843386444398853,0.2284283457601131,0.4562825700203133,0.4503610977842145,0.07314,0.05758872862131522
22,0.48396,0.4958230634648096,0.17171251570371907,0.45687852728580874,0.43972567797997886,0.07638,0.06625062452780427
42,0.30297,0.31388029940938944,0.04190775217753865,0.26811736515026663,0.26192344532367856,0.08553,0.09532964621933819
42,0.30297,0.31295286987970133,0.04190775217753865,0.26125155695162594,0.2594425605658267,0.0912,0.1088262117774577
26,0.48962000000000006,0.4909839680437074,0.1438904874803824,0.4669875797495892,0.4564380674857064,0.05045,0.03590835878363052
28,0.46984000000000004,0.470470965041592,0.12566465634533117,0.44234363359860146,0.4398588504904579,0.04557,0.042531617647307285
22,0.43182000000000004,0.4420013634488639,0.15321286579713195,0.40466858529837085,0.3941323213606945,0.07267,0.07148782404003304
39,0.28959,0.28981076528481836,0.04613632125148414,0.2633418939755803,0.26354669555027055,0.05657,0.05731634704892038
30,0.28604,0.29707066877921606,0.06962739630419032,0.2574119594385847,0.2581818393786895,0.0689,0.10002314700869018
35,0.24331,0.25524935277356425,0.04679925168680957,0.2238722755603311,0.21947872638140287,0.06464,0.08620923514847681
28,0.4079,0.40452590624437834,0.10909801916239693,0.39142899816013027,0.3921529788258562,0.02707,0.022395996057374423
42,0.31873999999999997,0.31150483178559935,0.044089107598338666,0.28126379240668803,0.29112183044549206,0.05299,0.05808449612258512
45,0.30996,0.32233175714316786,0.03722508781317958,0.281389342662562,0.285292443750615,0.0474,0.08069284279716171
48,0.22535,0.22953898862761066,0.023497571494939747,0.21397267931519223,0.21581299954825195,0.0242,0.04004540622322998
40,0.37089,0.39103647400967545,0.05637020813461823,0.3371828230435107,0.33726129567285723,0.05654,0.09294199941895485
36,0.37675,0.3859010167322169,0.06913171389731193,0.3345925874288779,0.3425710204995513,0.05889,0.09035119649716726
35,0.33613,0.3387081230072179,0.06465263437379187,0.30627424157610406,0.30711797333412394,0.05651,0.06330426104913059
