NEH,M0,I0_0_exp,I0_asmp,i0_t_exp,i0_t_theo,d2ome_k,new_k
22,0.48396,0.49796795819304696,0.17171251570371907,0.36714853754109583,0.35989197764091624,0.03165,0.0316702947598856
35,0.29777000000000003,0.30135646802584687,0.05727431332366646,0.20272300273702584,0.19212149565986025,0.03616,0.030889204068258486
17,0.44305999999999995,0.43772957704923116,0.19894336605351512,0.29631988231718326,0.3142651242691938,0.04687,0.04669053112018963
16,0.51989,0.5472101998706281,0.24469960578015576,0.45053945241889604,0.4337971900546571,0.02345,0.025811748799987533
22,0.47840000000000005,0.48357519375978625,0.16973978740527979,0.4077824447807721,0.404105093741946,0.01721,0.01723139874809727
35,0.41545000000000004,0.4395197643448549,0.07990937122717948,0.35817843549871475,0.3293605072117476,0.01853,0.016987633413226625
30,0.34502000000000005,0.35634437230843974,0.0839842129522855,0.25458506170749623,0.245018533448158,0.03019,0.029113267217973124
44,0.3109,0.3201615151677998,0.03913863614975608,0.2363507565167001,0.2362254561713841,0.02008,0.02224707080733399
26,0.40908,0.4260965096368269,0.12022123405595121,0.28870626882245987,0.28769351815435523,0.03407,0.03679648223901803
42,0.31873999999999997,0.31971645596480236,0.044089107598338666,0.1912778890088236,0.17751961640277178,0.04512,0.03606174912610451
20,0.45929000000000003,0.4402367363532341,0.1790561519476716,0.3401168266136457,0.340931150939053,0.0343,0.026318413823868757
51,0.22343,0.22153978725367637,0.020227501468539934,0.15487045529109694,0.13887097929944386,0.03363,0.023869725239068218
26,0.29382,0.3131253381476086,0.0863483988225276,0.2453006376647908,0.23366653920390823,0.0214,0.023771630821302663
17,0.58148,0.6032704369738681,0.2610968909240238,0.49311927539227685,0.48851665608302053,0.02142,0.02518210531538324
29,0.50081,0.5258331064803302,0.12778540833158245,0.4162676363896503,0.4112038354909283,0.01717,0.021053631371095338
29,0.38176000000000004,0.40373442022453826,0.09740891253102958,0.29923314725332867,0.29547677231290337,0.0226,0.027189933604532594
29,0.38520000000000004,0.38487328021992845,0.09828665419884901,0.28124418248734334,0.28333557727217323,0.02741,0.02665085811209501
30,0.36755000000000004,0.3730910840024444,0.08946842928123742,0.2757530798795388,0.27736929063253807,0.0245,0.025705993664127878
20,0.44948,0.45028086641573156,0.17523168189474933,0.38401453353869824,0.36841391693825143,0.0219,0.016926326470921613
32,0.34149999999999997,0.3662010796953354,0.07565442233560564,0.28863776990568946,0.27430663190186455,0.01821,0.02089518376832227
21,0.5263,0.5301161768710647,0.19574052106083084,0.4431423701428627,0.4504151103102731,0.0163,0.018607786930556834
43,0.36966,0.3822428683081326,0.048780057976899306,0.31700454929103916,0.310445576365498,0.01275,0.013998643473349098
29,0.37044,0.3776754525744298,0.0945205300659959,0.30443580844475104,0.30442846878406005,0.01709,0.018791704419310825
34,0.3104,0.3125344411258752,0.06258288068678518,0.24803551540509206,0.257304520775894,0.01507,0.018383626223298245
64,0.20577,0.20702288348645753,0.010098788588181824,0.1625927164289654,0.1611404584155977,0.01618,0.015802798772411676
19,0.61177,0.6204335826594582,0.2500030577872687,0.5206640954875018,0.5202024560323796,0.01824,0.01961326505047998
20,0.51143,0.5300501038381472,0.19938315180081798,0.41234746942974126,0.4125410785300704,0.02382,0.028020848692429795
19,0.40125999999999995,0.408728871182729,0.16397702889602206,0.33674917741923827,0.3328950305429998,0.02124,0.021835005410752017
44,0.26258,0.27666399902530464,0.03305571913863928,0.19336036860672295,0.19517442560523765,0.02173,0.026800202743432915
44,0.26258,0.2682032099467429,0.03305571913863928,0.19900655348442642,0.1987673017136097,0.02036,0.021682703720800754
15,0.61556,0.6263482791233912,0.30370160275945596,0.5511189579576677,0.5411782354084544,0.01703,0.016895302626113416
33,0.38047,0.45187690395083147,0.0804098297845896,0.24893006937556328,0.24398342650917057,0.03792,0.056567563840676856
18,0.56843,0.5897297131043324,0.24349442496143275,0.23979443027415365,0.2669771942871124,0.16421,0.10355215889738403
14,0.5633,0.5709617606698154,0.2913206909080883,0.2818560483666313,0.31270903262263894,0.15893,0.10174509968436714
15,0.53211,0.5802039116373486,0.26252950133916125,0.3527832184345931,0.35615165520493386,0.0661,0.07496550969240133
16,0.50812,0.5305396591844713,0.23915975242649937,0.22570226761877257,0.2531260008240808,0.18487,0.11098004388168362
18,0.46244,0.47824860920901785,0.1980922222246626,0.20884615304687645,0.2283158977873028,0.13554,0.0961515907472232
18,0.46244,0.466395853757861,0.1980922222246626,0.2114643844614363,0.2239710604105998,0.14524,0.08933703775215113
23,0.42963,0.43477302455599226,0.14542269715312928,0.16106861942755074,0.18382448094724435,0.1251,0.08917329498032683
33,0.43894,0.45807843860592634,0.09276707936407012,0.1205659998846725,0.13474645413731098,0.13186,0.090642335134711
21,0.40237,0.42461751551026994,0.14964870503371938,0.1481840041055812,0.17397328306001086,0.1463,0.10575355472265038
25,0.37594,0.37656054582887816,0.11581007919099769,0.12624083705486402,0.14296779510220473,0.14122,0.08908035285255812
28,0.37144,0.3644379405626421,0.09934633056553253,0.10829539224150721,0.12033675553550599,0.16013,0.08652944294255357
31,0.31559000000000004,0.32843741387882347,0.07328612045377615,0.10289062765862637,0.10325359581837851,0.13063,0.0852547922829303
31,0.31559000000000004,0.32755721035765445,0.07328612045377615,0.09580139629814942,0.10155361774577859,0.13428,0.08836767291065831
32,0.32701,0.37544266437511914,0.07244437085788112,0.09707056951748529,0.10180218285082651,0.135,0.10571304907577815
32,0.32701,0.32776481977826116,0.07244437085788112,0.08394359614805098,0.09652285524121397,0.14739,0.08852981682355124
58,0.17714,0.17047181997170494,0.01153275819120432,0.02682118754270686,0.04390492393921404,0.10202,0.0777265127191853
21,0.47247999999999996,0.4949333339026152,0.17572388635915134,0.19580943007898974,0.21798175748416584,0.12182,0.09474935315973002
18,0.47989,0.4908072181858316,0.20556715795215233,0.1973497902398881,0.22392663072012625,0.16901,0.10262105089085824
25,0.37594,0.3773770245460756,0.11581007919099769,0.12234438712079154,0.14170330031098835,0.1442,0.09131260599182311
26,0.32725000000000004,0.3383354573139281,0.09617287289725736,0.1146688538253824,0.12770199211269656,0.12449,0.08977345394685612
21,0.57653,0.5931816914645047,0.2144219696127699,0.39431174543000014,0.4007115960062933,0.04154,0.04375070268884701
20,0.5465,0.5499069296986088,0.21305533984933814,0.3873694141826967,0.40100927650270735,0.03583,0.03789083601283244
25,0.52707,0.5216916816541968,0.1623663841017161,0.35416471390699195,0.36982357562714374,0.03526,0.03530329118244088
30,0.47401000000000004,0.49437225283353337,0.11538275109127832,0.30720698414445147,0.3050902763096453,0.0398,0.041130004769371335
26,0.43621000000000004,0.4440676651113097,0.1281942517540493,0.2935459369715553,0.3049256246215995,0.03472,0.03800543336257819
26,0.43621000000000004,0.4515219606140004,0.1281942517540493,0.3158349284142466,0.3155840467021936,0.03106,0.03359678938701738
20,0.37149,0.3828331971219972,0.1448269500468996,0.26515289507794143,0.26629175544159395,0.03899,0.04087269899661697
39,0.39194,0.4183751405128243,0.062442314138287554,0.22837439639796303,0.23704784683392882,0.03969,0.0464308131144001
33,0.41058,0.42883740115776703,0.08677338006401766,0.2738714035940048,0.2733993560586695,0.03444,0.037068320714150824
28,0.32454,0.3428333290219235,0.08680233179446997,0.21507708524666994,0.21671310194560583,0.03777,0.04261085300061856
45,0.33616999999999997,0.36362015005805814,0.04037281510568002,0.19666735980420028,0.2043806225910088,0.03686,0.045231211171297914
26,0.28242,0.27614486594985244,0.08299814442671787,0.19265613068032594,0.19721997709802142,0.03483,0.03164308922182681
46,0.28806,0.3033864897399857,0.03300335933180131,0.17511319190494068,0.1776719638689734,0.03544,0.039336594566163965
46,0.28806,0.3111661066429158,0.03300335933180131,0.17777460295569514,0.18005232642105667,0.03442,0.04123411709679591
51,0.27155999999999997,0.28196663037742636,0.024584792994659196,0.15044810520953664,0.14813504289439483,0.04329,0.042144022294934705
42,0.28302,0.29391814903483954,0.03914820616327355,0.17670538054051585,0.17950148327586246,0.03453,0.03725854096650747
59,0.17556000000000002,0.17624420850452252,0.010904034851139,0.10328809109979477,0.10238932879446053,0.03673,0.03382768946362959
59,0.17556000000000002,0.1722463254331869,0.010904034851139,0.11158736719565225,0.10867016870247184,0.03258,0.027266049526685102
57,0.15831,0.15677649879076025,0.010803880749552693,0.10099301120900733,0.10199063621395357,0.03006,0.02810540859911496
33,0.41058,0.42883740115776703,0.08677338006401766,0.27378898435195476,0.27330979708606506,0.03447,0.03709184431873163
20,0.62944,0.6398360073298277,0.24538985016425874,0.45053717438758994,0.4618687630409225,0.03583,0.038398575211979195
39,0.23842,0.2438360164204399,0.03798412138809644,0.14772953146865891,0.14788011305275917,0.03756,0.03715259577882832
32,0.37404000000000004,0.40024480665526374,0.08286319218275238,0.20587609260292344,0.21350909998827722,0.05009,0.055645315953376795
19,0.44761,0.49561754697300603,0.18291820242273948,0.268965286469715,0.27993519274572765,0.06273,0.07643134508142818
19,0.51983,0.5164361060287439,0.21243128876792894,0.4019079703356023,0.41921340051088807,0.02478,0.027623554494818396
25,0.42345999999999995,0.4342343154939652,0.13044883793748968,0.3239443851701707,0.3264833457629952,0.02512,0.027952560286476618
25,0.41485999999999995,0.4217097815135878,0.12779956762562455,0.3115218940822443,0.31064712015137275,0.02819,0.028594947505703926
24,0.40735,0.41651288140293596,0.13153775619662897,0.3092915553971471,0.3130495004332975,0.02615,0.029019364898095305
22,0.40334000000000003,0.4007884731454263,0.1431079553763494,0.300989090142748,0.30613134943071085,0.02923,0.028564888692431033
30,0.39201,0.38244924328673485,0.09542244310308225,0.28188494022641514,0.28295312641495546,0.02865,0.024784741154371577
44,0.30179,0.320239638802881,0.03799179480101283,0.21934820605335012,0.21541616533479013,0.02479,0.02847459264633856
41,0.29651,0.3129033083982731,0.042992130966509334,0.21966919432247872,0.2171973997970575,0.02345,0.02721161079746672
38,0.28305,0.29805057107507665,0.047269112456727394,0.21210660628476596,0.20730257450072487,0.02422,0.026933795183232384
31,0.2071,0.21173880638064455,0.048092637745102945,0.16151270821563735,0.15874467794422634,0.02266,0.022860036975811366
38,0.23309999999999997,0.22417407288004182,0.038927504376128436,0.16690669415190457,0.1701306584871801,0.0245,0.02115140103770599
38,0.23309999999999997,0.2450412013370369,0.038927504376128436,0.1706101238091112,0.17331762480878973,0.023,0.028549584724573
15,0.54304,0.5557158066307407,0.26792208454495897,0.4493106793203879,0.44903483884361284,0.02613,0.028847142603398143
18,0.55543,0.5592053690721505,0.2379257049352226,0.47175320222107103,0.4716007247825681,0.01916,0.01958554445683075
19,0.56427,0.5797713229873432,0.23059193065632855,0.4777772391635211,0.48153263258386814,0.01781,0.022023876271702457
20,0.4858,0.5003726550514557,0.1893911877379844,0.39481103542823287,0.4095390945081673,0.01859,0.026221961054976973
17,0.46474,0.4822519282882503,0.2086781472931671,0.3734019355249632,0.3702740881695189,0.02877,0.032215276630714065
19,0.44688,0.4539798055713001,0.18261988404788504,0.3670569442707875,0.3577578264578619,0.02571,0.023939148308746418
30,0.39189999999999997,0.3991564485144916,0.09539566708017123,0.2878109530983071,0.28890811328796495,0.02667,0.027877361693980324
32,0.3725,0.3876044209869588,0.08252202729140001,0.2601045885895963,0.2696972061936711,0.02736,0.033521922276506785
50,0.24999,0.24871044004909165,0.023723473634405735,0.1849599782736347,0.1753216773994002,0.02503,0.020090048958773248
53,0.2601,0.26306901375847436,0.021430452134125835,0.18180662307033174,0.1760550067483923,0.02713,0.024902771449178063
53,0.2601,0.2647683962692147,0.021430452134125835,0.18520450855958068,0.1765754190549675,0.02692,0.024308129490867813
43,0.24176999999999998,0.2654581048888325,0.031903788933276375,0.1752061368126633,0.17034838781530648,0.026,0.03265716965385979
17,0.55677,0.5707560700802764,0.25000157522144995,0.4757183005085087,0.4694008289169105,0.02095,0.022361994508163438
22,0.48125999999999997,0.4788306643398783,0.17075453613433306,0.41131352462066223,0.4115918111928647,0.01588,0.015067708599295706
30,0.43921999999999994,0.44948475067742355,0.10691422529970096,0.3468695518420071,0.3382743674037787,0.02263,0.022279717068815066
17,0.40776,0.42771482083399065,0.18309291504983824,0.3457798112771833,0.3431066546484688,0.02121,0.026949781691926467
28,0.35259999999999997,0.3647663681081657,0.09430733404427839,0.26681452382263404,0.2629890001567921,0.02663,0.028195944691369136
40,0.31521,0.31450287425904144,0.047907609550306055,0.2364118646841856,0.2350857088074464,0.02227,0.020926195121576726
32,0.28277,0.29728820574181564,0.06264363397903136,0.22107312107919966,0.21351713927379973,0.02361,0.02538575556250705
20,0.56725,0.5843837302813684,0.2211448152416049,0.48433325295830576,0.4779564123948839,0.01865,0.02067860178903804
24,0.48073,0.49121063061121845,0.15523295823347352,0.39903263968441727,0.40285743037522354,0.01709,0.020205637174619852
30,0.36296,0.37895429641055783,0.08835113887067864,0.2035403118698373,0.21826449826084207,0.04678,0.0526747489388696
47,0.18788,0.20378692398382162,0.020535290736393222,0.09337169779093965,0.09931187607689168,0.04709,0.05484248708938896
22,0.49548000000000003,0.499320638729732,0.17579989519976594,0.30385938133796925,0.32143159395365395,0.04914,0.04989684665564832
33,0.37614,0.3837977007641122,0.079494712789906,0.21397592659726283,0.21891556964262698,0.04719,0.046021097404816004
34,0.34182,0.34567079984053817,0.06891778439547974,0.25697106926060753,0.26232415962279326,0.02152,0.023615256889276053
31,0.36228,0.38441136583196867,0.08412844424092658,0.21380753034349087,0.20889022058692436,0.05011,0.05009041674830185
19,0.40206000000000003,0.4149730582383974,0.16430395314243793,0.33536165576204185,0.32904340312090413,0.02293,0.024431591807637897
29,0.31428999999999996,0.3311393017763634,0.08019343859853646,0.24318844847707413,0.22980669677693188,0.02798,0.02789248752873201
15,0.44250999999999996,0.4548641811575543,0.2183231467884314,0.251083760170124,0.2555533322825393,0.11221,0.08263089217082738
21,0.46734000000000003,0.4735555219788683,0.17381222708069294,0.3201770229797678,0.3286862856733294,0.03996,0.041191014206019866
23,0.46258000000000005,0.5082433613772386,0.1565757308593314,0.3708753346872138,0.37472925482301944,0.02115,0.034354277369576365
19,0.46121,0.46837237815850424,0.18847591461180868,0.37623430378401135,0.37918273448807716,0.02236,0.024681007239458385
28,0.44441,0.44717032465350537,0.11886308089227955,0.35027102420574746,0.34530004363137573,0.02269,0.02137179984549998
22,0.5613199999999999,0.5742231105744477,0.19916040440286711,0.259352899538867,0.30284618512646566,0.07817,0.07796080465488797
24,0.5747800000000001,0.5865476090654143,0.1856027286282028,0.27851195840437004,0.2916489394520475,0.08126,0.06904653729930568
21,0.5567,0.5808593991711589,0.207046832746655,0.277231039008979,0.2982219217123212,0.08401,0.07783771490789207
19,0.54503,0.5643682282459467,0.2227294025300277,0.3005376022277846,0.3220511587167687,0.07357,0.07210167383156568
31,0.4918,0.509703951069831,0.11420550093211795,0.2122902553214487,0.22260471796317483,0.078,0.06861580219505538
22,0.47564999999999996,0.4947729652981659,0.16876406747349773,0.23479368600966893,0.2597582997794736,0.07598,0.0753741716828386
21,0.45685000000000003,0.4820115883816964,0.1699108057127885,0.24152123666177897,0.2563767238842895,0.07497,0.07433426045730829
24,0.43575,0.4503394303141628,0.14070842583203896,0.20669092984306536,0.21520821353770858,0.08602,0.07292452673548452
24,0.3729,0.38918582488254577,0.12041347560015452,0.2078805190253861,0.2253082688264914,0.0549,0.0609936226637691
41,0.38360999999999995,0.3939663338604919,0.05562109662427117,0.14531505676620868,0.14843345254627488,0.0789,0.0653420808228087
41,0.38360999999999995,0.3776659303360835,0.05562109662427117,0.13163131786544724,0.13842703485982383,0.08603,0.06446744312028657
39,0.28503,0.27603120706521983,0.04540984027870618,0.13485802176723755,0.14561453106327932,0.05449,0.047669080144029194
39,0.28503,0.30439032216960504,0.04540984027870618,0.13685544881998798,0.15331956569090993,0.04986,0.058974177260541855
57,0.20021999999999998,0.212998553882877,0.013664032617493778,0.07081711968213651,0.07692644093302203,0.06759,0.06578534783575846
21,0.59925,0.5996558816418565,0.2228719499253332,0.30269867707848996,0.32508650555175206,0.08147,0.0687647730222125
14,0.51989,0.5432293533557716,0.2688704313797373,0.31262315148891423,0.337368866409296,0.08117,0.08379143687976871
25,0.46714,0.4427539648379847,0.1439046666842652,0.20683819958821034,0.20710949173951088,0.102,0.06226272884799943
20,0.35861,0.3599387944647507,0.13980562749015765,0.2766083251087892,0.27124925274312317,0.03185,0.028335371262480778
23,0.50259,0.5165395700261487,0.17011845858573946,0.2830374165254893,0.2934300316391131,0.06199,0.059309405180372955
20,0.33049,0.3423748479727484,0.12884292638025208,0.2337487491594347,0.22398002637021835,0.04695,0.04273686517379556
20,0.33049,0.3464167890569159,0.12884292638025208,0.23132691285830695,0.22255987072682987,0.04789,0.04585164330579332
55,0.18878,0.19943464617873144,0.014155890319631891,0.10895833343587259,0.10919758808029197,0.03802,0.04077154796051066
24,0.44258000000000003,0.5000220433852157,0.14291390729717454,0.3822478622979587,0.38095155158978566,0.01439,0.029390602064866413
11,0.55334,0.5449994597370917,0.32960083800351314,0.42839081833311365,0.4302298814225036,0.04994,0.04106225610004008
13,0.58419,0.6186245660510372,0.31669454714988754,0.462966336027714,0.4622828168834652,0.03802,0.046951208412611106
25,0.48106000000000004,0.5081378724764463,0.14819278793323762,0.2712863359203323,0.26492746565797887,0.06549,0.060293815132351936
24,0.45305999999999996,0.46492901429754724,0.14629801355700187,0.2805795564370518,0.2580533692976851,0.06311,0.04884530288132398
20,0.45826,0.47817303645550796,0.17865460208482653,0.2974663090636111,0.29383496996377256,0.05543,0.0534461655315257
19,0.43387,0.4579632871012269,0.17730327849054753,0.29895967877235013,0.3029694242509485,0.04461,0.050735762158882605
